"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563455] Report(B000002)","Entity[563455] Report(B000002[00000])","Entity[563455] Report(B000002[00100])","Entity[563455] Report(B000002[00200])", , , ,"Entity[563455] Report(B000002[00600])","Entity[563455] Report(B000002[00700])","Entity[563455] Report(B000002[00800])","Entity[563455] Report(B000002[00900])","Entity[563455] Report(B000002[01000])","Entity[563455] Report(B000002[01100])", ,"Entity[563455] Report(B000002[01300])", , ,"Entity[563455] Report(B000002[01600])","Entity[563455] Report(B000002[01700])", , , ,"Entity[563455] Report(B000002[02100])","Entity[563455] Report(B000002[02200])", ,"Entity[563455] Report(B000002[02400])", ,"Entity[563455] Report(B000002[02600])"
"Line(09017)", ,"4608","185265", , , ,"7417","9141", ,"1287", ,"2915", ,"780", , ,"95", , , , , , , ,"293555", ,"293555"
"Line(09018)","31538","543004","744624", , , ,"29810","36740","465","5174", ,"10673", ,"3145", , ,"230", , , , , , , ,"1432640", ,"1432640"
"Line(09019)","1817","119783","164259", , , ,"6576","8105", ,"1141", ,"4743", ,"1269", , ,"70", , , , , , , ,"312651", ,"312651"
"Line(09020)","38366","66783","161488", , , ,"3666","4519", ,"636", ,"3495", ,"935", , ,"6", , , , , , , ,"286112", ,"286112"
"Line(09021)","9807", ,"16978", , , , , , , , ,"933", ,"249", , ,"7", , , , , , , ,"29196", ,"29196"
"Line(09022)","44293","66392","173699", , , ,"3645","4492", ,"633", ,"3994", ,"1068", , ,"66", , , , , , , ,"304867", ,"304867"
"Line(09023)", , ,"84817", , , ,"3396","4185", ,"589", ,"809", ,"216", , ,"18", , , , , , , ,"144701", ,"144701"
"Line(09024)","46288", ,"75987", , , , , , , , , , ,"1091", , , , , , , , , , ,"127538", ,"127538"
"Line(09025)","44315","225878","397428", , , ,"15910","19609","205","2762", ,"4624", ,"1764", , ,"303", , , , , , , ,"777731", ,"777731"
"Line(09100)","9232","790316","1085945", , , ,"43474","53580","15905","7546", ,"42432", ,"11713", , ,"8590", , , , , , , ,"2195561", ,"2195561"
"Line(09500)","175","3031","4157", , , ,"166","205", ,"29", ,"1846", ,"494", , ,"22", , , , , , , ,"21217", ,"21217"
"Line(10500)", , ,"96734", , , ,"3873","4773", ,"672", ,"1906", , , , ,"914", , , , , , , ,"190245", ,"190245"
"Line(10600)", , ,"16406", , , ,"657","809", ,"114", ,"292", , , , ,"154", , , , , , , ,"45549", ,"45549"
"Line(10700)", , ,"3529", , , ,"141","174", ,"25", ,"250", , , , ,"608", , , , , , , ,"82013", ,"82013"
"Line(10800)", , ,"4859", , , ,"195","240", ,"34", ,"181", , , , ,"85", , , , , , , ,"17438", ,"17438"
"Line(10900)", , ,"1552", , , ,"62","77", ,"11", ,"121", , , , ,"85", , , , , , , ,"10024", ,"10024"
