 , , , , , ,"27069", , , , , , , , , , , , , 
 ,"560399","97491","2699346", ,"1380186","-267806","790778", ,"5260394","2838000","8098394", , , , , , , , 
 , , , , , , , , , , ,"14675", , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report I2H0000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572875] Report(I2H0000[00100])", ,"Entity[572875] Report(I2H0000[00300])","Entity[572875] Report(I2H0000[00400])","Entity[572875] Report(I2H0000[00500])","Entity[572875] Report(I2H0000[00600])","Entity[572875] Report(I2H0000[00700])", ,"Entity[572875] Report(I2H0000[00900])","Entity[572875] Report(I2H0000[01000])","Entity[572875] Report(I2H0000[01100])", , , , , , , , 
 ,"29915", ,"644842","55647","290801","-66985","3220947", ,"4175167","604850","4780017", , , , , , , , 
 ,"14426", ,"310769","26798","140156","-32284","1552389", ,"2012254","291511","2303765", , , , , , , , 
 ,"15489", ,"334073","28849","150645","-34701","1668558", ,"2162913","313339","2476252", , , , , , , , 
 , , , , , ,"39916", , , , , , , , , , , , , 
 , , , , , ,"27069", , , , , , , , , , , , , 
 ,"29915", ,"644842","55647","290801","-66985","3220947", ,"4175167","604850","4780017", , , , , , , , 
 , , , , , , , , , , ,"1447", , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report I3D0000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"Entity[572875] Report(I3D0000[00000])","Entity[572875] Report(I3D0000[00100])","Entity[572875] Report(I3D0000[00200])","Entity[572875] Report(I3D0000[00300])", ,"Entity[572875] Report(I3D0000[00500])","Entity[572875] Report(I3D0000[00600])","Entity[572875] Report(I3D0000[00700])", ,"Entity[572875] Report(I3D0000[00900])","Entity[572875] Report(I3D0000[01000])", , , , , , , , , 
 ,"560399","97491","2699346", ,"1380186","-267806","790778", ,"5260394","2838000", , , , , , , , , 
 ,"1246","16","7849", ,"623805","56670","14219", , , , , , , , , , , , 
"4803","6539","84","39305", ,"3273953","297426","74626", , , , , , , , , , , , 
 ,"7785","100","47154", ,"3897758","354096","88845", , ,"5260394", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report I3H0000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572875] Report(I3H0000[00100])","Entity[572875] Report(I3H0000[00200])","Entity[572875] Report(I3H0000[00300])","Entity[572875] Report(I3H0000[00400])","Entity[572875] Report(I3H0000[00500])","Entity[572875] Report(I3H0000[00600])","Entity[572875] Report(I3H0000[00700])", ,"Entity[572875] Report(I3H0000[00900])","Entity[572875] Report(I3H0000[01000])", , , , , , , , , 
 ,"29915", ,"644842","55647","290801","-66985","3220947", ,"4175167","604850", , , , , , , , , 
 ,"489","48","3934","601","380359","53040","147435", , , , , , , , , , , , 
 ,"525","52","4229","647","408823","57010","158468", , , , , , , , , , , , 
 ,"1014","100","8163","1248","789182","110050","305903", , ,"4175167", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report I4D0010 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572875] Report(I4D0010[00100])","Entity[572875] Report(I4D0010[00200])","Entity[572875] Report(I4D0010[00300])", ,"Entity[572875] Report(I4D0010[00500])", , , , , , , , , , , , , , 
 ,"915","1322735","1446", ,"604265", , , , , , , , , , , , , , 
 ,"915","1322735", , ,"604265", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report I4H0010 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572875] Report(I4H0010[00100])","Entity[572875] Report(I4H0010[00200])","Entity[572875] Report(I4H0010[00300])", ,"Entity[572875] Report(I4H0010[00500])", , , , , , , , , , , , , , 
 ,"44", , , , , , , , , , , , , , , , , , 
 ,"17", , , , , , , , , , , , , , , , , , 
 ,"1399","2303765","1647", ,"1444173", , , , , , , , , , , , , , 
 ,"1503","2476252","1648", ,"1102204", , , , , , , , , , , , , , 
 ,"61","4780017", , ,"2546377", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report I500000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572875] Report(I500000[00100])","Entity[572875] Report(I500000[00200])", , , , , , , , , , , , , , , , , 
 ,"3150642", , , , , , , , , , , , , , , , , , 
 ,"189018","184103", , , , , , , , , , , , , , , , , 
 ,"503020","483400", , , , , , , , , , , , , , , , , 
 ,"692038","667503", , , , , , , , , , , , , , , , , 
 ,"722","703", , , , , , , , , , , , , , , , , 
 ,"722","703", , , , , , , , , , , , , , , , , 
 ,"138264","134669", , , , , , , , , , , , , , , , , 
 ,"138264","134669", , , , , , , , , , , , , , , , , 
 ,"50158", , , , , , , , , , , , , , , , , , 
 , ,"135372", , , , , , , , , , , , , , , , , 
 , ,"533440", , , , , , , , , , , , , , , , , 
 ,"3150642","2481830", , , , , , , , , , , , , , , , , 
 ,"6437543", , , , , , , , , , , , , , , , , , 
 ,"6102752", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
