"Entity[572875] Report(B000001[00000])", ,"Entity[572875] Report(B000001[00200])", ,"Entity[572875] Report(B000001[00400])", ,"Entity[572875] Report(B000001[00600])","Entity[572875] Report(B000001[00700])","Entity[572875] Report(B000001[00800])","Entity[572875] Report(B000001[00900])","Entity[572875] Report(B000001[01000])","Entity[572875] Report(B000001[01100])", ,"Entity[572875] Report(B000001[01300])","Entity[572875] Report(B000001[01400])","Entity[572875] Report(B000001[01500])","Entity[572875] Report(B000001[01600])","Entity[572875] Report(B000001[01700])","Entity[572875] Report(B000001[01800])", ,"Entity[572875] Report(B000001[02000])", , ,"Entity[572875] Report(B000001[02300])","Entity[572875] Report(B000001[02400])","Entity[572875] Report(B000001[02500])","Entity[572875] Report(B000001[02600])"
"25345813", ,"33361", ,"24170", ,"153959","11291","7255","132930", ,"104598", , , , , , ,"353396", , , , , ,"32148680","-150397","31998283"
 , , , , , , , , , , , , , , , , , , , , , , , ,"232436", ,"232436"
"13776662", ,"132101", ,"30439", ,"53045","3890", ,"45800", ,"118295", , ,"103632", , , ,"387", , , , , ,"17585552", ,"17585552"
"24730453", ,"75667", ,"63216", ,"173588","12731","25256","149877", ,"266476", , , , , , , , , , , , ,"30710200", ,"30710200"
"706709", ,"11077", ,"1429", ,"1202","88","125","1038", ,"9962", , , , , , ,"411", , , , , ,"1080275", ,"1080275"
"17070270", ,"716655", ,"22984", ,"119561","15385","31001","103230", ,"93391", , ,"808325", , , ,"131432", , , , , ,"24333240", ,"24333240"
"11378570", ,"144891", ,"15232", ,"14353","1053","3339","73996", ,"73468", , ,"32870", , , ,"56512", , , , , ,"14537625","-382649","14154976"
"24617581", ,"230", ,"1885", ,"25308","1856", ,"21851", ,"9962", , , , , , , , , , , , ,"29760116", ,"29760116"
"32134230", , , , , , , , , , , , , , , , , , , , , , , ,"38182821", ,"38182821"
"44985", ,"8609", , , , , , , , , , , , ,"212113792", , ,"92902", , , , , ,"220056136", ,"220056136"
"5960822", ,"50448", ,"14007", ,"95504","7004","5513","82459", ,"46073", ,"236058","33135", , ,"107823","48247", , , , ,"13742","8380875","-267806","8113069"
"10890163", ,"344915", ,"21830", ,"107036","7850","10349","92415", ,"98372", , ,"26731", , , ,"14247", , , , , ,"14830186", ,"14830186"
