"----------"," Entity 558727"," Report K510001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"Entity[558727] Report(K510001[00000])","Entity[558727] Report(K510001[00100])","Entity[558727] Report(K510001[00200])", ,"Entity[558727] Report(K510001[00400])", ,"Entity[558727] Report(K510001[00600])","Entity[558727] Report(K510001[00700])", , ,"Entity[558727] Report(K510001[01000])","Entity[558727] Report(K510001[01100])", ,"Entity[558727] Report(K510001[01300])","Entity[558727] Report(K510001[01400])", ,"Entity[558727] Report(K510001[01600])","Entity[558727] Report(K510001[01700])","Entity[558727] Report(K510001[01800])", , , , , ,"Entity[558727] Report(K510001[02400])", ,"Entity[558727] Report(K510001[02600])","Entity[558727] Report(K510001[02700])","Entity[558727] Report(K510001[02800])"
 ,"63314","62425", ,"853882", ,"43626","139978", , ,"47434","15382", ,"248257","46796", ,"29495","26811","8218", , , , , ,"2030382", ,"2030382"
"204729", , , , , , , , , , , , , , , , , , , , , , , ,"219951", ,"219951","73076","293027"
"3592944", , , , , , , , , , , , , , , , , , , , , , , ,"3860091", ,"3860091","1282462","5142553"
"657652", , , , , , , , , , , , , , , , , , , , , , , ,"706550", ,"706550","234742","941292"
"538584", , , , , , , , , , , , , , , , , , , , , , , ,"578629", ,"578629","192242","770871"
"9643", , , , , , , , , , , , , , , , , , , , , , , ,"10360", ,"10360","3442","13802"
"93166", , , , , , , , , , , , , , , , , , , , , , , ,"100093", ,"100093","33255","133348"
"9364", , , , , , , , , , , , , , , , , , , , , , , ,"10060", ,"10060","3342","13402"
"10945", , , , , , , , , , , , , , , , , , , , , , , ,"11759", ,"11759","3907","15666"
"571285", , , , , , , , , , , , , , , , , , , , , , , ,"613762", ,"613762","203914","817676"
"5688312","63314","62425", ,"853882", ,"43626","139978", , ,"47434","15382", ,"248257","46796", ,"29495","26811","8218", , , , , ,"8141637", ,"8141637", ,"8141637"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report K510002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(K510002[00100])","Entity[558727] Report(K510002[00200])", ,"Entity[558727] Report(K510002[00400])", ,"Entity[558727] Report(K510002[00600])","Entity[558727] Report(K510002[00700])", , ,"Entity[558727] Report(K510002[01000])","Entity[558727] Report(K510002[01100])", ,"Entity[558727] Report(K510002[01300])","Entity[558727] Report(K510002[01400])", ,"Entity[558727] Report(K510002[01600])","Entity[558727] Report(K510002[01700])","Entity[558727] Report(K510002[01800])", 
 ,"6697","44649", ,"3709354", ,"6697","6697", , ,"2919","66", ,"28","71175", ,"17228308","973","17228308", 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"6697","44649", ,"3709354", ,"6697","6697", , ,"2919","66", ,"28","71175", ,"17228308","973","17228308", 
 ,"63314","62425", ,"853882", ,"43626","139978", , ,"47434","15382", ,"248257","46796", ,"29495","26811","8218", 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report K510003 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(K510003[00100])", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report K610000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(K610000[00100])","Entity[558727] Report(K610000[00200])","Entity[558727] Report(K610000[00300])","Entity[558727] Report(K610000[00400])", , , , , , , , , , , , , , , 
 , , , ,"8141637", , , , , , , , , , , , , , , 
 , , , ,"48309", , , , , , , , , , , , , , , 
 , , , ,"169", , , , , , , , , , , , , , , 
 ,"36970", , , , , , , , , , , , , , , , , , 
 ,"6230554", , , , , , , , , , , , , , , , , , 
 , ,"4428", , , , , , , , , , , , , , , , , 
 , ,"746251", , , , , , , , , , , , , , , , , 
 ,"3175", , , , , , , , , , , , , , , , , , 
 ,"535083", , , , , , , , , , , , , , , , , , 
 , , ,"6911", , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
