"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[549652] Report(B000002)","Entity[549652] Report(B000002[00000])", ,"Entity[549652] Report(B000002[00200])", ,"Entity[549652] Report(B000002[00400])", ,"Entity[549652] Report(B000002[00600])","Entity[549652] Report(B000002[00700])","Entity[549652] Report(B000002[00800])","Entity[549652] Report(B000002[00900])","Entity[549652] Report(B000002[01000])","Entity[549652] Report(B000002[01100])", , ,"Entity[549652] Report(B000002[01400])","Entity[549652] Report(B000002[01500])","Entity[549652] Report(B000002[01600])","Entity[549652] Report(B000002[01700])", , , ,"Entity[549652] Report(B000002[02100])", , ,"Entity[549652] Report(B000002[02400])", ,"Entity[549652] Report(B000002[02600])"
"Line(09006)", , ,"124702", ,"5396", ,"477681","14009","512","7447", ,"50312", , , , ,"12517","51764", , , , , , ,"2573067", ,"2573067"
"Line(09007)", , ,"11080", ,"4181", ,"518226","15198","227","8079", ,"35868", , , , ,"10249","79040", , , , , , ,"1936477", ,"1936477"
"Line(09008)", , ,"84794", ,"910", ,"129781","3806","210","2023", ,"4738", , , , ,"44173", , , , , , , ,"601305", ,"601305"
"Line(09009)", , ,"193286", ,"5632", ,"568452","16671","498","8862", ,"50932", , , , ,"12253","28603", , , , , , ,"2136578", ,"2136578"
"Line(09010)", , ,"260669", ,"4847", ,"638680","18731","397","9957", ,"40797", , , , ,"8473","52171", , , , , , ,"2253801", ,"2253801"
"Line(09011)", , ,"23218", ,"2560", ,"353237","10359","415","5507", ,"21599", , , , ,"11164","20072", , , , , , ,"1016622", ,"1016622"
"Line(09012)", , ,"10068", ,"2715", ,"208509","6115","200","3251", ,"26499", , , , ,"3794","26789", , , , , , ,"756765", ,"756765"
"Line(09013)", , ,"33287", ,"4447", ,"939400","27550", ,"14645", ,"37445", , , , ,"12423","62694", , , , , , ,"2801343", ,"2801343"
"Line(09014)", , ,"214889", ,"5258", ,"615137","18040","788","9590", ,"47317", , , , ,"70345","19382", , , , , , ,"2342226", ,"2342226"
"Line(09015)", , ,"3328", ,"2052", ,"369413","10834","589","5759", ,"17472", , , , ,"7131","57322", , , , , , ,"987766", ,"987766"
"Line(09016)", , ,"27422", ,"2756", ,"233587","6850","287","3642", ,"21658", , , , ,"5706","5452", , , , , , ,"1255393", ,"1255393"
"Line(09017)", , ,"29113", ,"5744", ,"644489","18901","10","10048", ,"41404", , , , ,"6233","49463", , , , , , ,"2420470", ,"2420470"
"Line(09018)", , ,"35831", ,"5561", ,"587367","17226","164","9157", ,"43124", , , , ,"8595","9124", , , , , , ,"2047638", ,"2047638"
"Line(09019)","188706", ,"80324", ,"3409", ,"300413","8810","35","4683", ,"31958", , , , ,"17775","1841", , , , , , ,"1711456", ,"1711456"
"Line(09020)", , ,"226357", ,"8352", ,"978717","28703","1096","15258", ,"73086", , , , ,"30574","62207", , , , , , ,"3731948", ,"3731948"
"Line(09021)", , ,"131091", ,"5867", ,"1125145","32997", ,"17541", ,"55880", , , , ,"26455","51711", , , , , , ,"3795148", ,"3795148"
"Line(09022)", , ,"89053", ,"9808", ,"1164391","34148","711","18153", ,"63094", , , , ,"168193", , , , , , , ,"3478004", ,"3478004"
"Line(09023)", , , , ,"199", , , , , , , , , , , ,"169","2186", , , , , , ,"10624", ,"10624"
"Line(09024)", , ,"49681", ,"1041", ,"44134","1294","29","688", ,"11582", , , , ,"2705","12806", , , , , , ,"601043", ,"601043"
"Line(09025)", , ,"49038", ,"5208", ,"788910","23137","356","12299", ,"36471", , , , ,"25111","22948", , , , , , ,"2164771", ,"2164771"
"Line(09026)", , ,"58728", ,"3570", ,"447621","13127","404","6978", ,"30020", , , , ,"7804","221", , , , , , ,"1386625", ,"1386625"
"Line(09027)","2013774", ,"173531", ,"3229", ,"10673","313","239","166", ,"20645", , , , ,"50790","17408", , , , , , ,"2682822", ,"2682822"
"Line(09028)","1403606", ,"677133", ,"3632", ,"4510","132","228","70", ,"23851", , , , ,"50162","8708", , , , , , ,"2745539", ,"2745539"
"Line(09029)","2963988", ,"67245", ,"3504", ,"2149","63","205","34", ,"22787", , , , ,"42240","10248", , , , , , ,"3584020", ,"3584020"
"Line(09030)","4701777", ,"177001", ,"3828", , , ,"248", , ,"24883", , , , ,"62512","15027", , , , , , ,"5552614", ,"5552614"
"Line(09700)", , , , ,"19", , , , , , , , , , , ,"224", , , , , , , ,"2738", ,"2738"
"Line(10000)","1253", , , ,"3597", ,"177646","5210","2","2770", ,"29702", , , , , , , , , , , , ,"450007", ,"450007"
"Line(11800)","21516761", ,"116535822", ,"699939", ,"55347335","1601456","44287","841670","513747","3570421", , ,"6575713","8128032","7218595","1093899", , , , , , ,"199199753", ,"199199753"
"Line(19001)", , ,"6647", ,"1245", ,"287733","8438", ,"4486", ,"15839", , , , , , , , , , , , ,"602526", ,"602526"
"Line(19100)","3371669", ,"20727244", ,"192219", ,"24072623","705984","49","375297", ,"1403766", , , , , ,"18", , , , , , ,"98626384", ,"98626384"
"Line(19101)","41832", ,"267549", ,"5076", ,"1450141","42529","349","22608", ,"23465", , , , , ,"345", , , , , , ,"3431115", ,"3431115"
"Line(19200)","327999", ,"35021", ,"196280", ,"743477","21804", ,"11591", ,"53706", , , , , , , , , , , , ,"2307277", ,"2307277"
"Line(19401)","2220067", ,"663945", ,"26462", ,"11866094","347999", ,"184994", ,"106182", , , , , ,"664", , , , , , ,"24040904", ,"24040904"
"Line(19402)", , ,"10154", ,"7159", , , , , , , , , , , , , , , , , , , ,"345489", ,"345489"
"Line(19403)", , ,"14384", ,"3359", ,"60404","1771", ,"942", ,"15456", , , , , , , , , , , , ,"1224971", ,"1224971"
"Line(20000)", , , , , , , , , , , , , , , , , , , , , ,"1987650", , ,"4553869", ,"4553869"
