 , , , , , ,"49780", , , , , , , , , , , , , 
 , , , , , ,"4886", , , , , , , , , , , , , 
 , , , , , ,"106774", , , , , , , , , , , , , 
 , , , , , ,"98512", , , , , , , , , , , , , 
 , , , , , ,"311785", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report K41002* ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(K41002*[00100])","Entity[565497] Report(K41002*[00200])","Entity[565497] Report(K41002*[00300])","Entity[565497] Report(K41002*[00400])","Entity[565497] Report(K41002*[00500])","Entity[565497] Report(K41002*[00600])", , , , , , , , , , , , , 
 ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-", , , , , , , , , , , , , 
 ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &", , , , , , , , , , , , , 
 ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL", , , , , , , , , , , , , 
 ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM.", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report K510001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"Entity[565497] Report(K510001[00000])","Entity[565497] Report(K510001[00100])", , ,"Entity[565497] Report(K510001[00400])", , ,"Entity[565497] Report(K510001[00700])", , , ,"Entity[565497] Report(K510001[01100])", ,"Entity[565497] Report(K510001[01300])","Entity[565497] Report(K510001[01400])","Entity[565497] Report(K510001[01500])", , , , , , , , ,"Entity[565497] Report(K510001[02400])", ,"Entity[565497] Report(K510001[02600])","Entity[565497] Report(K510001[02700])","Entity[565497] Report(K510001[02800])"
 , , , , , , , , , , , , , , , , , , , , , , , ,"249", ,"249"
 ,"36", , ,"22077", , ,"85", , , ,"12", ,"119","7","113", , , , , , , , ,"26894", ,"26894","5","26899"
"676753","5281", , ,"56474", , ,"12455", , , ,"1695", ,"15764","893","16954", , , , , , , , ,"978039", ,"978039","192","978231"
"38589", , , , , , , , , , , , , , , , , , , , , , , ,"46230", ,"46230","9","46239"
"3788","12", , ,"4943", , ,"28", , , ,"2", ,"40", ,"22", , , , , , , , ,"10623", ,"10623","2","10625"
"82771", , , , , , , , , , , , , , , , , , , , , , , ,"99160", ,"99160","19","99179"
 , , , ,"10602", , , , , , , , , , , , , , , , , , , ,"12700", ,"12700","2","12702"
"76366", , , ,"8908", , , , , , , , , , ,"7", , , , , , , , ,"102182", ,"102182","20","102202"
"878267","5329", , ,"103004", , ,"12568", , , ,"1709", ,"15923","900","17096", , , , , , , , ,"1276077", ,"1276077", ,"1276077"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report K510002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(K510002[00100])", , ,"Entity[565497] Report(K510002[00400])", ,"Entity[565497] Report(K510002[00600])","Entity[565497] Report(K510002[00700])", , , ,"Entity[565497] Report(K510002[01100])", ,"Entity[565497] Report(K510002[01300])","Entity[565497] Report(K510002[01400])","Entity[565497] Report(K510002[01500])", , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"3", , ,"111164", ,"3","3", , , ,"125", ,"3","19","470", , , , 
 ,"441", , ,"284372", ,"441","441", , , ,"17643", ,"396","2594","70555", , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"1", , ,"24890", ,"1","1", , , ,"26", ,"1","1","91", , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"53387", , , , , , , , , , , , , , , 
 , , , ,"44853", , , , , , , , , ,"1","30", , , , 
 ,"445", , ,"518666", ,"445","445", , , ,"17794", ,"400","2615","71146", , , , 
 ,"5329", , ,"103004", , ,"12568", , , ,"1709", ,"15923","900","17096", , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report K510003 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(K510003[00100])", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"2", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report K610000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(K610000[00100])","Entity[565497] Report(K610000[00200])","Entity[565497] Report(K610000[00300])","Entity[565497] Report(K610000[00400])", , , , , , , , , , , , , , , 
 , , , ,"1276077", , , , , , , , , , , , , , , 
 , , , ,"7113", , , , , , , , , , , , , , , 
 , , , ,"179", , , , , , , , , , , , , , , 
 ,"6174", , , , , , , , , , , , , , , , , , 
 ,"1107616", , , , , , , , , , , , , , , , , , 
 , ,"431", , , , , , , , , , , , , , , , , 
 , ,"77321", , , , , , , , , , , , , , , , , 
 , , ,"508", , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
