"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[565497] Report(B000002)", ,"Entity[565497] Report(B000002[00100])","Entity[565497] Report(B000002[00200])", ,"Entity[565497] Report(B000002[00400])", , ,"Entity[565497] Report(B000002[00700])","Entity[565497] Report(B000002[00800])","Entity[565497] Report(B000002[00900])","Entity[565497] Report(B000002[01000])","Entity[565497] Report(B000002[01100])", ,"Entity[565497] Report(B000002[01300])","Entity[565497] Report(B000002[01400])","Entity[565497] Report(B000002[01500])","Entity[565497] Report(B000002[01600])","Entity[565497] Report(B000002[01700])", ,"Entity[565497] Report(B000002[01900])", ,"Entity[565497] Report(B000002[02100])", , ,"Entity[565497] Report(B000002[02400])", ,"Entity[565497] Report(B000002[02600])"
"Line(09003)", ,"119101", , ,"115", , ,"6647", ,"364", ,"368", ,"162","8","11", , , , , , , , ,"181841", ,"181841"
"Line(09007)", ,"1624413","2376384", ,"7595", , ,"90657","4086","25065", ,"16421", ,"13534","4701","34038","1301","30186", , , , , , ,"5205949", ,"5205949"
"Line(09008)", ,"1162","250655", ,"2102", , ,"65","1567","13", ,"3523", ,"2177","1716","1086","29", , , , , , , ,"311597", ,"311597"
"Line(09009)", , ,"69046", ,"354", , , ,"41", , ,"911", ,"569","397","1502","1", , , , , , , ,"84711", ,"84711"
"Line(09010)", , ,"74684", ,"761", , , ,"412", , ,"1607", ,"1425","949","1131","2", , , , , , , ,"100310", ,"100310"
"Line(09012)", , ,"92049", ,"1126", , , ,"347", , ,"1411", ,"1092","734","5373","2", , , , , , , ,"124781", ,"124781"
"Line(09014)", , ,"45256", ,"535", , , ,"81", , ,"838", ,"465","222","621","24", , , , , , , ,"62191", ,"62191"
"Line(09015)", , ,"34425", ,"472", , , ,"463", , ,"1108", ,"990","696","3193","3", , , , , , , ,"60114", ,"60114"
"Line(09016)", , ,"32610", ,"1269", , , ,"715", , ,"1968", ,"1173","1078","3177","4", , , , , , , ,"68025", ,"68025"
"Line(09018)", , ,"53045", ,"226", , , ,"107", , ,"662", ,"658","397","2062","2", , , , , , , ,"67012", ,"67012"
"Line(09020)", , ,"50853", ,"1143", , , ,"300", , ,"1567", ,"781","881","5264","1", , , , , , , ,"83226", ,"83226"
"Line(09021)", ,"38455","7252", ,"286", , ,"2146","1062", , ,"813", ,"418","410","770","1", , , , , , , ,"78044", ,"78044"
"Line(09022)", , ,"120513", ,"1348", , , ,"913", , ,"2206", ,"1846","1852","23909","11", , , , , , , ,"190786", ,"190786"
"Line(09023)", , ,"12800", ,"1003", , , , , , ,"967", ,"356","358","1381","1", , , , , , , ,"27470", ,"27470"
"Line(09024)", , ,"60860", ,"275", , , ,"193", , ,"510", ,"389","279","94","11", , , , , , , ,"69675", ,"69675"
"Line(09025)", , ,"44765", ,"632", , , ,"40", , ,"871", ,"168","83","59", , , , , , , , ,"52157", ,"52157"
"Line(09026)", , ,"1080", , , , , , , , ,"74", , , , , , , , , , , , ,"1403", ,"1403"
"Line(09027)", , , , , , , , , , , , , , , , , , , , , , , , ,"1", ,"1"
"Line(09028)", , ,"24630", ,"227", , , , , , ,"475", , , , ,"7", , , , , , , ,"53165", ,"53165"
"Line(09029)", ,"1197600","698038", ,"3069", , ,"66837", , , ,"5612", , , ,"24","61","2667", , , , , , ,"2570858", ,"2570858"
"Line(09030)", , ,"1569", ,"836", , , , , , ,"363", , , , ,"8", , , , , , , ,"15869", ,"15869"
"Line(09031)", , , , , , , , , , , ,"3", , , , , , , , , , , , ,"78", ,"78"
"Line(09032)", , , , , , , , , , , ,"203", , , , , , , , , , , , ,"258", ,"258"
"Line(09100)", ,"297771","134508", ,"6008", , ,"16618","11465", , ,"6499", ,"8839","31501", ,"17321", , , , , , , ,"794222", ,"794222"
"Line(09201)", ,"19150", , ,"111", , ,"1069","503","249", ,"193", ,"569","113","15","2", , , , , , , ,"40645", ,"40645"
"Line(09500)", ,"8731", , , , , ,"487", , , , , , , ,"1", , , , , , , , ,"14269", ,"14269"
"Line(09700)", , , , ,"127", , , , ,"33", ,"214", , , , ,"137", , , , , , , ,"2965", ,"2965"
"Line(10100)", ,"68611", , ,"1412", , ,"3829", ,"214", ,"2586", ,"4085","251","47", , , , , , , , ,"132537", ,"132537"
"Line(10500)", ,"8419", , ,"205", , ,"470", ,"25", ,"229", ,"19","4", ,"4099","1691", , , , , , ,"35228", ,"35228"
"Line(10600)", ,"31820","1533", ,"192", , ,"1776", ,"134", ,"136", ,"37","3", ,"721", , , , , , , ,"55241", ,"55241"
"Line(10700)", ,"3796", , ,"210", , ,"212", ,"31", ,"222", , , , ,"2197", , , , , , , ,"19438", ,"19438"
"Line(10800)", ,"28611", , ,"180", , ,"1597", ,"109", ,"122", ,"47","6", ,"2414","935", , , , , , ,"58463", ,"58463"
"Line(10900)", , , , ,"226", , , , , , ,"785", , , , , , , , , , , , ,"3641", ,"3641"
"Line(11000)", , , , ,"147", , , , ,"8", ,"254", , , , , , , , , , , , ,"2008", ,"2008"
"Line(11100)", , , , , , , , , ,"13", , , , , , , , , , , , , , ,"13", ,"13"
"Line(11200)", ,"1916","3093", ,"355", , ,"107", , , ,"663", ,"3", , ,"577", , , , , , , ,"16550", ,"16550"
"Line(11600)", ,"5329", , ,"203", , ,"297", , , ,"443", ,"648","187","663", , , , , , , , ,"14590", ,"14590"
"Line(11800)", ,"19057976","23097908", ,"143988", , ,"899000","163479","227442","565969","203969", ,"196765","861849","529672","496800","89208", , , , , , ,"48755299", ,"48755299"
"Line(19000)", , , , ,"20", , , , , , ,"76", , , , , , , , , , , , ,"942", ,"942"
"Line(19001)", , , , ,"332", , , , , , ,"427", , , , , , , , , , , , ,"4414", ,"4414"
"Line(19002)", , , , ,"307", , , , , , ,"559", ,"193","213","19459", , , , , , , , ,"33492", ,"33492"
"Line(19003)", , ,"6460", ,"94", , , , , , ,"174", , , ,"27253", , , , , , , , ,"56045", ,"56045"
"Line(19004)", , , , ,"1909", , , , , , ,"1334", , ,"52", , , , , , , , , ,"11664", ,"11664"
"Line(19005)", , , , ,"16", , , , , , ,"20", , , , , , , , , , , , ,"272", ,"272"
"Line(19200)", , , , ,"33", , , , , , , , ,"117","24","6", , , , , , , , ,"1012", ,"1012"
"Line(19201)", , ,"607592", ,"52674", , , , , , ,"21159", , ,"3", , , , , , , , , ,"1243169", ,"1243169"
"Line(20000)", , , , , , , , , , , , , , , , , , , ,"3115", ,"348179", , ,"447391", ,"447391"
