"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[562588] Report(B000001)","Entity[562588] Report(B000001[00000])","Entity[562588] Report(B000001[00100])","Entity[562588] Report(B000001[00200])", ,"Entity[562588] Report(B000001[00400])","Entity[562588] Report(B000001[00500])", ,"Entity[562588] Report(B000001[00700])","Entity[562588] Report(B000001[00800])","Entity[562588] Report(B000001[00900])","Entity[562588] Report(B000001[01000])","Entity[562588] Report(B000001[01100])", ,"Entity[562588] Report(B000001[01300])","Entity[562588] Report(B000001[01400])","Entity[562588] Report(B000001[01500])","Entity[562588] Report(B000001[01600])","Entity[562588] Report(B000001[01700])", , , ,"Entity[562588] Report(B000001[02100])","Entity[562588] Report(B000001[02200])","Entity[562588] Report(B000001[02300])","Entity[562588] Report(B000001[02400])","Entity[562588] Report(B000001[02500])","Entity[562588] Report(B000001[02600])"
"Line(09008)","300473", ,"100337", ,"198601","123078", , ,"974", , ,"8162", ,"1513", , ,"3308", , , , , , , ,"736446", ,"736446"
"Line(09009)","393167","428400","13128", ,"202299","212928", ,"168436","503","14704", ,"7944", ,"69131", , ,"2369", , , , , , , ,"1513009", ,"1513009"
"Line(09010)","-55448","152406","273131", ,"236090","124468", ,"59922","1185","5231", ,"9613", ,"62389", , ,"2823", , , , , , , ,"871810", ,"871810"
"Line(09011)","435314", ,"229636", ,"275072","193017", , , , , ,"8944", ,"1513", , ,"5352", , , , , , , ,"1148848", ,"1148848"
"Line(09012)","92795", ,"3836", ,"40043","28064", , ,"35", , ,"2050", , , , ,"419", , , , , , , ,"167242", ,"167242"
"Line(09013)","207983","127972","9054", ,"199782","111863", ,"50315","2819","4393", ,"5891", ,"76237", , ,"3014", , , , , , , ,"799323", ,"799323"
"Line(09014)","5443266","403994","1046390", ,"5021663","2446595", ,"158841","32295","13867", ,"134485", ,"430604", , ,"54795","703155", , , , , , ,"15889950", ,"15889950"
"Line(09015)","530061","180736","1705", ,"236847","194932", ,"71061","1456","6204", ,"8127", ,"41381", , ,"3823", , , , , , , ,"1276333", ,"1276333"
"Line(09016)","301129","99827","73488", ,"187081","135832", ,"39249","942","3426", ,"6337", ,"61264", , ,"2426", , , , , , , ,"911001", ,"911001"
"Line(09017)","1707255","1136993","1234024", ,"2937409","1440544", ,"447038","1124","38584", ,"73132", ,"144866", , ,"41004", , , , , , , ,"9201973", ,"9201973"
"Line(09018)","955116","249106","3089", ,"528127","356341", ,"97942","4135","8550", ,"19439", ,"77565", , ,"6839", , , , , , , ,"2306249", ,"2306249"
"Line(09020)","6722321","9076","1003439", ,"1351915","1865801", ,"3568","5124", , ,"31641", ,"54340", , ,"20881","647779", , , , , , ,"11715885", ,"11715885"
"Line(09100)","18878494","1221698","520866", ,"3006171","4851426", ,"480344","10342","181608", ,"120635", ,"1197078", , ,"175682","192672", , , ,"1210862","932855", ,"32980733","-2143717","30837016"
"Line(09101)","4287353", , , , ,"1118904", , , , , ,"29751", , , , ,"11", , , , , , , ,"7308348", ,"7308348"
"Line(09400)","724885","135175","6441", ,"62557","190765", ,"53148", ,"3846", ,"2976", ,"101489", , ,"10414", , , , , , , ,"1291696", ,"1291696"
"Line(10100)","6288496","77722","41885", ,"864024","1493200", , , ,"2668", ,"39989", ,"111109", , ,"10388","230014", , , , , , ,"9159495", ,"9159495"
"Line(10101)","2741693", ,"17810", ,"408454","650483", ,"30558", , , ,"19243", ,"44737", , ,"4668","376567", , , , , , ,"4294213", ,"4294213"
"Line(10500)","2063910","30476","1952", ,"153050","461871", ,"11982", ,"2589", ,"4342", , , , ,"2430","57114", , , ,"155199","119566", ,"3064481","-274765","2789716"
"Line(10600)","402604","535","17843", ,"5046","87477", ,"205", ,"331", ,"245", , , , ,"2264","72952", , , ,"24488","18865", ,"632855","-43353","589502"
"Line(10900)","390944","3678","235", ,"18472","84870", ,"1447", , , ,"524", , , , ,"36","6892", , , ,"8163","6288", ,"521549","-14451","507098"
"Line(11200)","467218", ,"37302", ,"31594","110081", , , , , ,"389", , , , ,"1274","222615", , , , , , ,"870473", ,"870473"
"Line(11600)","6186476","85415","6735", ,"636678","1419933", ,"33584", ,"2817", ,"35854", ,"2693", , ,"10589","1511683", , , , , , ,"9932457", ,"9932457"
"Line(11601)","2782743", ,"449", ,"245867","621963", , , , , ,"12338", ,"92326", , ,"4818","373424", , , , , , ,"4133928", ,"4133928"
"Line(11800)","963423697","56493381","59850682", ,"113446908","162106198", ,"15821984","1761080","2810843","9246993","4216525", ,"16972244","4544546","27922933","3957750","11241038", , , ,"28985038","22330249","94635","943263846","-51315287","891948559"
"Line(19000)","727486","45295","32632", ,"43526","174314", ,"17804", ,"466", ,"3968", , , , , , , , , ,"3605733","2777879", ,"7429103","-6383612","1045491"
"Line(19001)", ,"715406", , , ,"146896", ,"281278", ,"60", , , , , , , , , , , ,"108255","83400", ,"1335295","-191655","1143640"
"Line(19002)","162374", ,"12224", ,"6695","37225", , , , , ,"1034", , , , , , , , , , , , ,"221060", ,"221060"
"Line(19100)","8601028","469344","186789", ,"254727","1953095", ,"184541", ,"15131", ,"46004", , , , , , , , , , , , ,"11710659", ,"11710659"
"Line(19101)","7772051","181104","981682", ,"681719","1974587", ,"71205", ,"6270", ,"25386", ,"3169", , , , , , , , , , ,"11697173", ,"11697173"
"Line(19102)","-227831","481440","47475", , ,"61822", ,"189290", ,"16525", , , , , , , , , , , , , , ,"568721", ,"568721"
"Line(19402)","4656025","26243", , ,"79281","977698", ,"10319", ,"901", ,"6867", , , , , , , , , , , , ,"5757334", ,"5757334"
"Line(19404)","4979402","14226","920", ,"1011748","1233285", ,"5593", ,"977","855574","6194", , , , , , , , , , , , ,"8107919", ,"8107919"
"Line(19408)","12755", , , , ,"2705", , , , , , , , , , , , , , , , , , ,"15877", ,"15877"
