"1746946", , , , ,"358704", , , , , , , , , , , , , , , , , , ,"2105650", ,"2105650","489541","2595191"
"242984", , , , ,"49892", , , , , , , , , , , , , , , , , , ,"292876", ,"292876","68090","360966"
"159970", , , , ,"32847", , , , , , , , , , , , , , , , , , ,"192817", ,"192817","44828","237645"
"427396", , , , ,"87758", , , , , , , , , , , , , , , , , , ,"515154", ,"515154","119768","634922"
"54571", , , , ,"11205", , , , , , , , , , , , , , , , , , ,"65776", ,"65776","15292","81068"
"150876", , , , ,"30980", , , , , , , , , , , , , , , , , , ,"181856", ,"181856","42280","224136"
"2782743", ,"449", ,"245867","621963", , , , , ,"12338", ,"92326", , ,"4818","373424", , , , , , ,"4133928", ,"4133928", ,"4133928"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report K520002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , ,"Entity[562588] Report(K520002[00200])", ,"Entity[562588] Report(K520002[00400])","Entity[562588] Report(K520002[00500])", , , , , ,"Entity[562588] Report(K520002[01100])", ,"Entity[562588] Report(K520002[01300])", , ,"Entity[562588] Report(K520002[01600])","Entity[562588] Report(K520002[01700])", , 
 , ,"151", ,"1101106","246316", , , , , ,"33788", ,"93317", , ,"3669277","66160", , 
 , , , , ,"1746946", , , , , , , , , , , , , , 
 , , , , ,"242984", , , , , , , , , , , , , , 
 , , , , ,"159970", , , , , , , , , , , , , , 
 , , , , ,"427396", , , , , , , , , , , , , , 
 , , , , ,"54571", , , , , , , , , , , , , , 
 , , , , ,"150876", , , , , , , , , , , , , , 
 , ,"151", ,"1101106","3029059", , , , , ,"33788", ,"93317", , ,"3669277","66160", , 
 , ,"449", ,"245867","621963", , , , , ,"12338", ,"92326", , ,"4818","373424", , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report K520003 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[562588] Report(K520003[00100])", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report K610000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[562588] Report(K610000[00100])","Entity[562588] Report(K610000[00200])","Entity[562588] Report(K610000[00300])","Entity[562588] Report(K610000[00400])", , , , , , , , , , , , , , , 
 , , , ,"9932457", , , , , , , , , , , , , , , 
 , , , ,"61717", , , , , , , , , , , , , , , 
 , , , ,"161", , , , , , , , , , , , , , , 
 ,"57107", , , , , , , , , , , , , , , , , , 
 ,"9190801", , , , , , , , , , , , , , , , , , 
 , ,"1019", , , , , , , , , , , , , , , , , 
 , ,"163998", , , , , , , , , , , , , , , , , 
 ,"4010", , , , , , , , , , , , , , , , , , 
 ,"645369", , , , , , , , , , , , , , , , , , 
 , , ,"3591", , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report K620000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[562588] Report(K620000[00100])","Entity[562588] Report(K620000[00200])","Entity[562588] Report(K620000[00300])","Entity[562588] Report(K620000[00400])", , , , , , , , , , , , , , , 
 , , , ,"4133928", , , , , , , , , , , , , , , 
 , , , ,"32220", , , , , , , , , , , , , , , 
 , , , ,"128", , , , , , , , , , , , , , , 
 ,"29209", , , , , , , , , , , , , , , , , , 
 ,"3747515", , , , , , , , , , , , , , , , , , 
 , ,"1561", , , , , , , , , , , , , , , , , 
 , ,"200276", , , , , , , , , , , , , , , , , 
 ,"3829", , , , , , , , , , , , , , , , , , 
 ,"491261", , , , , , , , , , , , , , , , , , 
 , , ,"1450", , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
