"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563706] Report(B000001)","Entity[563706] Report(B000001[00000])","Entity[563706] Report(B000001[00100])","Entity[563706] Report(B000001[00200])", ,"Entity[563706] Report(B000001[00400])", ,"Entity[563706] Report(B000001[00600])","Entity[563706] Report(B000001[00700])","Entity[563706] Report(B000001[00800])","Entity[563706] Report(B000001[00900])","Entity[563706] Report(B000001[01000])","Entity[563706] Report(B000001[01100])", ,"Entity[563706] Report(B000001[01300])","Entity[563706] Report(B000001[01400])","Entity[563706] Report(B000001[01500])","Entity[563706] Report(B000001[01600])","Entity[563706] Report(B000001[01700])","Entity[563706] Report(B000001[01800])", ,"Entity[563706] Report(B000001[02000])","Entity[563706] Report(B000001[02100])","Entity[563706] Report(B000001[02200])","Entity[563706] Report(B000001[02300])","Entity[563706] Report(B000001[02400])","Entity[563706] Report(B000001[02500])","Entity[563706] Report(B000001[02600])"
"Line(04100)","2049468", ,"4312", ,"435918", ,"603965", ,"63877","153241", ,"16824", ,"121584","296","5","139710","180554","31811", , ,"249202","105913", ,"4870299","-355115","4515184"
"Line(04400)","1719575", ,"903", ,"394400", ,"385828", ,"67277","97894", ,"15150", ,"98900", ,"32","72889","12311","30847", , , , , ,"3596123", ,"3596123"
"Line(05000)","49175831","3054045","2823963", ,"5388625", ,"4526562","985664","663173","1096253", ,"200365", ,"776897","2633659","2313","43077","60527","91446", , ,"7011175","2979822", ,"95348019","-9990997","85357022"
"Line(05001)","1068940","527844","311523", ,"139814", ,"465107","167509","3691","118009", ,"4837", ,"20195", ,"2", , ,"1042", , , , , ,"3045672", ,"3045672"
"Line(05002)","272559", , , ,"57306", , , , , , ,"1745", ,"12510","8159","334", , , , , , , , ,"378149", ,"378149"
"Line(05100)","5551329","305997","50209", ,"1236937", ,"383479","97107","141307","97298", ,"36811", ,"279254", ,"194", ,"2736","307059", , , , , ,"9599948", ,"9599948"
"Line(05300)","30610909","336202","485712", ,"108957", ,"588613","106692","91943","149346", ,"19137", ,"18711","17736","95404", , , , , ,"3501655","1488240", ,"42267006","-4989895","37277111"
"Line(05301)","1683926", ,"12106", ,"298564", ,"86977", , ,"22068", ,"12688", ,"32335", ,"3007", , ,"495", , , , , ,"2339616", ,"2339616"
"Line(05400)","6675764","2362246","1220552", ,"1995196", ,"3483018","891549","126107","883726", ,"119993", ,"228706","526587","21092", , ,"794586", , ,"3327172","1414083", ,"28446634","-4741255","23705379"
"Line(05401)","1358462", ,"95730", ,"251877", ,"86629", ,"43059","21980", ,"7130", , , ,"331", , ,"164055", , , , , ,"2389370", ,"2389370"
"Line(05404)","2255543", ,"166561", ,"330569", , , , , , , , ,"3082", ,"15502", , , , , , , , ,"3344787", ,"3344787"
"Line(05405)","928765", ,"262557", ,"130670", , , , , , , , ,"250", ,"4423", , , , , , , , ,"1484129", ,"1484129"
"Line(05500)","6619773","671564","354386", ,"525993", ,"776135","213118","18115","196924", ,"15954", ,"13434", ,"145", , , , , , , , ,"11366159", ,"11366159"
"Line(05600)","3011123", ,"145644", ,"203411", ,"129508", ,"6900", , ,"5149", , , ,"3", , ,"20504", , , , , ,"4142451", ,"4142451"
"Line(05601)","1591370", ,"34636", ,"243284", ,"22831", , ,"5793", ,"6869", ,"19714","15027","8806", , , , , , , , ,"2189603", ,"2189603"
"Line(05700)","5615035","19446","307242", ,"1049941", ,"17134","6171","58125","4347", ,"23099", ,"8240","9233","32902", , ,"104394", , , , , ,"9210041", ,"9210041"
