"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[572851] Report(B000001)","Entity[572851] Report(B000001[00000])","Entity[572851] Report(B000001[00100])","Entity[572851] Report(B000001[00200])", ,"Entity[572851] Report(B000001[00400])","Entity[572851] Report(B000001[00500])", ,"Entity[572851] Report(B000001[00700])","Entity[572851] Report(B000001[00800])","Entity[572851] Report(B000001[00900])","Entity[572851] Report(B000001[01000])","Entity[572851] Report(B000001[01100])", ,"Entity[572851] Report(B000001[01300])","Entity[572851] Report(B000001[01400])","Entity[572851] Report(B000001[01500])","Entity[572851] Report(B000001[01600])","Entity[572851] Report(B000001[01700])","Entity[572851] Report(B000001[01800])", ,"Entity[572851] Report(B000001[02000])","Entity[572851] Report(B000001[02100])","Entity[572851] Report(B000001[02200])","Entity[572851] Report(B000001[02300])","Entity[572851] Report(B000001[02400])","Entity[572851] Report(B000001[02500])","Entity[572851] Report(B000001[02600])"
"Line(05600)","1059651","164726","302177", ,"231779","333616", ,"203905","35327","74630", ,"13943", ,"22","3749", ,"41749", , , , , , , ,"2470638", ,"2470638"
"Line(05700)","3008913","113208","171253", ,"668657","751732", ,"140133","45540","74962", ,"38885", ,"2074","32602", ,"519354", , , , , , , ,"5628225", ,"5628225"
"Line(05800)","2808457","170212","374740", ,"499135","730959", ,"210695","131367","51415", ,"28029", ,"9154","6573", ,"196866", , , , , , , ,"5309607", ,"5309607"
"Line(05900)","9026778","427858","1579312", ,"1372645","2353953", ,"529621","123172","179788", ,"99181", ,"211640","286894", ,"370872", , , ,"17106", , ,"725","16579545", ,"16579545"
"Line(06000)","64592067","698350","1057992", ,"4592463","13459895", ,"864447", ,"272258", ,"480667", ,"621219","428183","16986","1597687", ,"2851", , , , ,"887491","89572556", ,"89572556"
"Line(06001)","1407779", ,"55764", ,"213762","318242", , , ,"40335", ,"16398", , ,"4715","1027","17239", , , , , , ,"7971","2083232", ,"2083232"
"Line(06002)","1170047","5182","44525", ,"118342","253882", ,"6415", , , ,"10470", ,"5235","3120", ,"24970", , , , , , ,"10869","1653057", ,"1653057"
"Line(06500)","13042676","267294","621692", ,"3035922","3219328", ,"330868", ,"81168", ,"252056", ,"92354","130878","1062","168434", ,"372", , , , ,"2029","21246133", ,"21246133"
"Line(06600)","5799672","199155","171121", ,"1568134","1468177", ,"246522","2390","61167", ,"114183", ,"69892","187","7","66542", ,"52", , , , , ,"9767201", ,"9767201"
"Line(06800)","1265404","4879", , , ,"241016", ,"6039", ,"20167", , , , , , ,"8853", , , , , , , ,"1546358", ,"1546358"
"Line(06900)","2710581","161363","305835", ,"638482","724074", ,"199742","12159","118621", ,"57655", ,"74151","5488","1013","152133", , , , , , , ,"5161297", ,"5161297"
"Line(07100)","49742588","176110","900142", ,"201780","9680346", ,"217997", ,"72026", ,"29887", ,"318","4234532","1473","213365", ,"30257", , , , , ,"65500821", ,"65500821"
"Line(07200)","73233256", , , , ,"13894839", , , , , , , , ,"6747678", ,"754689", , , , , , , ,"94630462", ,"94630462"
"Line(07300)","54675315", , , , ,"10373766", , , , , , , , , ,"20465934","820295", , , , , , , ,"87131102", ,"87131102"
"Line(07400)","2234431","259907","172603", ,"588007","617574", ,"321724","14189","174081", ,"44679", ,"229719","10732","3014","38847", ,"2221", , , , ,"1739","4713467","-328010","4385457"
"Line(07500)","11058428","172665","258789", ,"2024268","2564094", ,"213732","113758","318632", ,"176052", ,"783641","120463","23","239181", ,"4339", , ,"123507","202076", ,"18401740","-325583","18076157"
"Line(07601)","431291", ,"12395", ,"82854","99903", , , , , ,"9789", , ,"70999", ,"330", , , , , , , ,"707561", ,"707561"
"Line(07602)","2985346", , , ,"28577","571844", , , ,"28810", ,"2170", ,"12592","125","14","32775", , , , , , , ,"3662253", ,"3662253"
"Line(07603)","9017271","414986","856864", ,"1639361","2263239", ,"513686","88866","170147", ,"124350", ,"469125","113196","19","141387", ,"764", ,"83392", , , ,"15896653", ,"15896653"
"Line(07697)","608301", ,"32984", ,"139217","148088", , , ,"115241", ,"13270", ,"27590","186", ,"4265", ,"12531", , , , , ,"1101673", ,"1101673"
"Line(09000)","1591275", ,"63316", ,"660896","439327", , , , , ,"49960", ,"86889","3590", ,"13389", ,"785", , ,"154980","253571", ,"3317978","-408551","2909427"
"Line(09001)","1927917","276391","3365", ,"2277994","851084", ,"342128","113293","344893","297673","99610", ,"161420","1223", ,"40898", , , ,"104240","20487","33520", ,"6896136","-54007","6842129"
"Line(09002)","4287269","2894","133223", ,"1957085","1210592", ,"3583", , , ,"117623", ,"176983","6477", ,"44053", ,"1198", , , , , ,"7982982", ,"7982982"
"Line(09003)","15567656", ,"182389", ,"4246718","3794066", , ,"63384","161338", ,"318659", ,"732168","14635","2096","65583", ,"10465", , ,"759141","1242071", ,"27160369","-2001212","25159157"
"Line(09004)","16079322","459696","504584", ,"9902158","5112527", ,"569030","385604","161338", ,"508359", ,"669254","23079","16650","248049", , , ,"19601","2871227","4697767", ,"42228245","-7568994","34659251"
"Line(09005)","1213651", ,"90719", ,"298446","304109", , ,"1691","86431", ,"22554", ,"11211","7638","1294","5149", ,"341", , ,"59615","97539", ,"2200388","-157154","2043234"
"Line(09006)","143286", ,"3424", ,"19736","31580", , , ,"28810", ,"2195", ,"14543","43","5","196", , , , ,"2251","3683", ,"249752","-5934","243818"
"Line(09007)","2464348", ,"54511", ,"1200861","705757", , , , , ,"88745", ,"164514","5797", ,"27058", , , ,"17462", , , ,"4729053", ,"4729053"
"Line(09008)","978269", ,"9042", ,"326666","249306", , , , , ,"23689", ,"36528","1357", ,"5213", , , , ,"60335","98717", ,"1789122","-159052","1630070"
"Line(09009)","2483303","35200","548910", ,"1653932","895800", ,"43572", , , ,"62112", ,"77907","2086", ,"45244", ,"2583", ,"31005", , , ,"5881654", ,"5881654"
"Line(09010)","483459", ,"2723", ,"122366","115462", , , , , ,"10436", ,"23022","2094", ,"1973", , , , , , , ,"761535", ,"761535"
"Line(09011)","1263875", ,"12025", ,"444802","326476", , , ,"48978", ,"10201", , , , ,"7989", ,"1312", , , , , ,"2115658", ,"2115658"
"Line(09012)","44997", ,"48", ,"30249","14286", , , , , ,"2313", ,"3429","33", ,"920", , , , , , , ,"96275", ,"96275"
"Line(09013)","535057", ,"138233", ,"2799653","658935", , ,"1796", , ,"64719", ,"85870","335", ,"59217", , , , , , , ,"4343815", ,"4343815"
"Line(09014)","1082332","3997","39589", ,"864873","377721", ,"4947", ,"144052", ,"31367", ,"50471","1261", ,"25674", , , , , , , ,"2723380", ,"2723380"
"Line(09015)","35125059", ,"51528", ,"975792","6859335", , , , , ,"84599", ,"396607","14029","10367157","396244", ,"7686", , , , , ,"54278036", ,"54278036"
"Line(09016)","2070007", ,"78400", ,"1104601","617206", , , , , ,"70152", ,"164518","5247", ,"18629", ,"3905", , , , , ,"4132665", ,"4132665"
