"----------"," Entity 553807"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000001[00000])","Entity[553807] Report(B000001[00100])","Entity[553807] Report(B000001[00200])", ,"Entity[553807] Report(B000001[00400])", ,"Entity[553807] Report(B000001[00600])","Entity[553807] Report(B000001[00700])","Entity[553807] Report(B000001[00800])","Entity[553807] Report(B000001[00900])", ,"Entity[553807] Report(B000001[01100])", , , , ,"Entity[553807] Report(B000001[01600])","Entity[553807] Report(B000001[01700])", , , ,"Entity[553807] Report(B000001[02100])", ,"Entity[553807] Report(B000001[02300])","Entity[553807] Report(B000001[02400])","Entity[553807] Report(B000001[02500])","Entity[553807] Report(B000001[02600])"
"10024538","967062","503061", ,"3537763", ,"393721","778324","4230","1094309", ,"63741", , , , ,"197485","155680", , , , , ,"12873","20577776", ,"20577776"
"2328002","17463","138979", ,"225799", ,"7110","14055","544", , ,"4090", , , , , , , , , , , , ,"3385986", ,"3385986"
"4233334","120972","437158", ,"992626", ,"49252","97363","3374", , ,"18411", , , , , , , , , , , , ,"6700439", ,"6700439"
"4217610","378764","210207", ,"1019101", ,"154206","304842","7778", , ,"18293", , , , , , , , , , , , ,"7501632", ,"7501632"
"500458","7579","5361", ,"166181", ,"3086","6100", , , ,"3056", , , , , , , , , , , , ,"762905", ,"762905"
"2369582", ,"27422", ,"282562", , , , , , ,"6562", , , , , , , , , , , , ,"2956510", ,"2956510"
"1056135","40492","21852", ,"134791", ,"16486","32589", , , ,"2784", , , , , , , , , , , , ,"1452266", ,"1452266"
"224699","33761","3348", ,"63171", ,"13745","27172","429", , ,"1400", , , , , , , , , , , , ,"423395", ,"423395"
"817341","60738","56144", ,"396928", ,"24728","48884", , , ,"5835", , , , , , , , , , , , ,"1742236", ,"1742236"
"935562", , , ,"247672", , , , , , ,"5385", , , , , , , , , , , , ,"1334472", ,"1334472"
"2488976", ,"114151", ,"693778", , , , , , ,"11715", , , , , , , , , , , , ,"3690946", ,"3690946"
"1536190", ,"75995", ,"369556", , , , , , ,"3993", , , , , , , , , , , , ,"2212187", ,"2212187"
"1695994", ,"15448", ,"193453", , , , , , ,"3924", , , , , , , , , , , , ,"2155930", ,"2155930"
"338002", ,"113558", ,"94964", , , ,"550", , ,"1802", , , , , , , , , , , , ,"638892", ,"638892"
"51968768","2725757","1098069", ,"12677378", ,"1109740","2193781","6764","1492976", ,"226747", , , , ,"632651","1095961", , , ,"13173283", , ,"124104761","-21200037","102904724"
"763544","109551","2475", ,"272966", ,"44602","88170", , , ,"7329", , , , ,"30875", , , , , , , ,"1433371", ,"1433371"
"5717046","544044","49507", ,"1873633", ,"221497","437865", , , ,"42953", , , , ,"156706", , , , ,"660658", , ,"11240661","-1063210","10177451"
"1837664","284848","23212", ,"569007", ,"115970","229255", , , ,"12429", , , , ,"21554", , , , , , , ,"3418298", ,"3418298"
"355875","2676","21003", ,"98778", ,"1090","2154", , , ,"2455", , , , , , , , , , , , ,"529224", ,"529224"
"663007","5194","31479", ,"184329", ,"2115","4180", , , ,"4111", , , , , , , , , , , , ,"1115453", ,"1115453"
"1010765","5008","16507", ,"235059", ,"2039","4031", , , ,"8075", , , , , , , , , , , , ,"1399871", ,"1399871"
