"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000002)","Entity[553807] Report(B000002[00000])","Entity[553807] Report(B000002[00100])","Entity[553807] Report(B000002[00200])", ,"Entity[553807] Report(B000002[00400])", ,"Entity[553807] Report(B000002[00600])","Entity[553807] Report(B000002[00700])","Entity[553807] Report(B000002[00800])","Entity[553807] Report(B000002[00900])", ,"Entity[553807] Report(B000002[01100])", , , , ,"Entity[553807] Report(B000002[01600])","Entity[553807] Report(B000002[01700])", , , ,"Entity[553807] Report(B000002[02100])", ,"Entity[553807] Report(B000002[02300])","Entity[553807] Report(B000002[02400])", ,"Entity[553807] Report(B000002[02600])"
"Line(07631)","100","7579","5361", ,"41", ,"131","137", , , ,"628", , , , , , , , , , , , ,"25288", ,"25288"
"Line(07650)","160584", ,"27422", ,"70", , , , , , ,"1349", , , , , , , , , , , , ,"233583", ,"233583"
"Line(07651)", ,"40492","21852", ,"34", ,"700","730", , , ,"572", , , , , , , , , , , , ,"86155", ,"86155"
"Line(07654)", ,"33761","3348", ,"16", ,"584","608","27", , ,"288", , , , , , , , , , , , ,"46349", ,"46349"
"Line(07655)","3981","60738","56144", ,"99", ,"1050","1095", , , ,"1200", , , , , , , , , , , , ,"157717", ,"157717"
"Line(07656)", , , , ,"62", , , , , , ,"1107", , , , , , , , , , , , ,"21652", ,"21652"
"Line(07658)","574805", ,"114151", ,"173", , , , , , ,"2409", , , , , , , , , , , , ,"752822", ,"752822"
"Line(07659)","322243", ,"75995", ,"92", , , , , , ,"821", , , , , , , , , , , , ,"433059", ,"433059"
"Line(07698)","200417", ,"15448", ,"48", , , , , , ,"807", , , , , , , , , , , , ,"253316", ,"253316"
"Line(07699)", , ,"113558", ,"24", , , ,"35", , ,"370", , , , , , , , , , , , ,"125694", ,"125694"
"Line(09000)","4181398","2725757","1098069", ,"3158", ,"47134","49128","432","41850", ,"46617", , , , ,"100686","49600", , , , , , ,"10430461", ,"10430461"
"Line(09001)","350","109551","2475", ,"68", ,"1894","1974", , , ,"1507", , , , ,"4914", , , , , , , ,"141541", ,"141541"
"Line(09020)","215659","544044","49507", ,"467", ,"9408","9806", , , ,"8831", , , , ,"24940", , , , , , , ,"1010511", ,"1010511"
"Line(09025)","135","284848","23212", ,"142", ,"4926","5134", , , ,"2555", , , , ,"3430", , , , , , , ,"375373", ,"375373"
"Line(09026)","19545","2676","21003", ,"25", ,"46","48", , , ,"505", , , , , , , , , , , , ,"51594", ,"51594"
"Line(09028)","23303","5194","31479", ,"46", ,"90","94", , , ,"845", , , , , , , , , , , , ,"81224", ,"81224"
"Line(09029)","96324","5008","16507", ,"59", ,"87","90", , , ,"1660", , , , , , , , , , , , ,"140128", ,"140128"
"Line(09040)","8888","142861","6765", ,"79", ,"2470","2575", , , ,"1537", , , , ,"15390", , , , , , , ,"209225", ,"209225"
